index,Normalised_ASHP_heat,Normalised_ASHP_elec,Normalised_GSHP_heat,Normalised_GSHP_elec,Normalised_Resistance_heater_heat,Normalised_Resistance_heater_elec,Normalised_Gas_boiler_heat,Normalised_Gas_boiler_gas,UK_daily_average_OAT_[degrees_C]
2013-01-01T00:00:00,5.27E-05,2.34E-05,6.53E-05,2.56E-05,4.17E-05,4.17E-05,1.48E-05,1.76E-05,7.3
2013-01-01T00:30:00,5.28E-05,2.34E-05,6.63E-05,2.58E-05,8.94E-05,8.94E-05,1.48E-05,1.76E-05,7.3
2013-01-01T01:00:00,5.42E-05,2.40E-05,6.88E-05,2.61E-05,9.08E-05,9.08E-05,1.50E-05,1.79E-05,7.3
2013-01-01T01:30:00,5.38E-05,2.40E-05,6.84E-05,2.60E-05,8.97E-05,8.97E-05,1.50E-05,1.79E-05,7.3
2013-01-01T02:00:00,5.85E-05,2.57E-05,7.10E-05,2.64E-05,8.73E-05,8.73E-05,1.54E-05,1.83E-05,7.3
2013-01-01T02:30:00,5.82E-05,2.52E-05,7.09E-05,2.64E-05,8.50E-05,8.50E-05,1.54E-05,1.83E-05,7.3
2013-01-01T03:00:00,6.62E-05,2.75E-05,7.67E-05,2.82E-05,8.04E-05,8.04E-05,1.69E-05,2.01E-05,7.3
2013-01-01T03:30:00,6.50E-05,2.62E-05,7.69E-05,2.82E-05,7.37E-05,7.37E-05,1.69E-05,2.01E-05,7.3
2013-01-01T04:00:00,6.91E-05,2.68E-05,7.81E-05,2.80E-05,7.31E-05,7.31E-05,2.96E-05,3.52E-05,7.3
2013-01-01T04:30:00,7.62E-05,3.02E-05,7.82E-05,2.80E-05,7.31E-05,7.31E-05,3.71E-05,4.42E-05,7.3
2013-01-01T05:00:00,8.86E-05,3.29E-05,7.85E-05,2.83E-05,7.41E-05,7.41E-05,7.49E-05,8.92E-05,7.3
2013-01-01T05:30:00,9.16E-05,3.43E-05,8.28E-05,2.94E-05,7.43E-05,7.43E-05,9.77E-05,0.000116281,7.3
